fCF4,1.0bar,Err 1.0bar,2.0bar,Err 2.0bar,2.5bar,Err 2.5bar,3.0bar,Err 3.0bar,4.0bar,Err 4.0bar,5.0bar,Err 5.0bar
0.0,0.0026164298897559117,0.0016671894451394428,0.002243501592121864,0.0014295719767858687,0.0,0.0,0.0021105596278647755,0.0013448229944528368,0.0014875729290530606,0.00094788413052637,6.624006479013982e-05,4.221728945722129e-05
0.1,0.008298215160168569,0.004657255662148565,0.009165373947587284,0.005143949635141357,0.0,0.0,0.007721317598726814,0.004333462068287627,0.004640668947655552,0.0026044855648659215,0.006450774346133689,0.00362037072429312
0.2,0.026714766207314895,0.008680215549078421,0.027538842632200057,0.008947838385289737,0.0,0.0,0.02652305141166736,0.008617726714816904,0.022553561633739075,0.007327927349908891,0.012281156486204741,0.003990244587243841
0.5,0.04030110321071069,0.0075627043169537115,0.04200253254466378,0.007881742359101856,0.0,0.0,0.04309017994053106,0.008085676761360242,0.044454601946165864,0.008341758647731876,0.03918130837806157,0.007352070240091959
1.0,0.066421828310642,0.009931108954574594,0.06861845890079205,0.01025916960988113,0.0,0.0,0.07030971153647925,0.010511796378306482,0.06770301396983883,0.010121952260697132,0.06537162324970129,0.009773299242556356
2.0,0.10304164246920276,0.007045910596734521,0.10621534261510039,0.0072612105671261175,0.0,0.0,0.1084996715357311,0.007416676837428238,0.10485288199471525,0.007167310777507491,0.10684353810302355,0.007302637326524994
5.0,0.1649709029971847,0.01792937553361647,0.17285062017886968,0.01885469478600918,0.0,0.0,0.17506173775129658,0.01915221687467627,0.18105276474278284,0.019874428089260487,0.18477197554765187,0.022257601317772605
10.0,0.1841804479538825,0.019997099830509214,0.20178297240111362,0.021907182375491902,0.0,0.0,0.20658194401388746,0.02242779387885775,0.21248519799082774,0.023068203488283423,0.2174455798215378,0.023606211875593662
20.0,0.18688078223253662,0.020273096018444958,0.20439649487666103,0.022172494331996292,0.0,0.0,0.21371621659411003,0.023184294989568952,0.22896659545010917,0.024840211926290715,0.2287088377768972,0.024811348161156765
50.0,0.16886403915683157,0.01831855802430903,0.18329038690876565,0.019883607092857365,0.0,0.0,0.19556040073805678,0.02121514307974893,0.21021492307494277,0.02280422119845006,0.2285102030007669,0.024790553085554952
100.0,0.09976879904020358,0.009344074052101489,0.0,0.0,0.11293965418091245,0.0005122305894995744,0.0,0.0,0.12259408499026844,0.011480664973446351,0.0,0.0
